"","region","ubigeo","year","Cobre","Arsenico","Bismuto","Cadmio","Estaño","Magneso","Molibdeno","Oro","Plata","Plomo","Zinc","Hierro","GasNatural","LiquidoGasNatural","PetroleoCrudo","piatotalexpenditure","pimtotalexpenditure","TOTALDEV","expenditurefic2","collectrev","piacollected","pimcollected","totalrevenue","piatotalrevenue","pimtotalrevenue","canonminero","canonmineropia","canonmineropim"
"82","ICA","11","2010",348460172.774485,0,0,0,0,0,0,120759.145984229,83970605.095184,46437384.1134328,550474884.149492,1199389296.84454,0,0,0,431048423,580618956,500575317.38,0.862140834331512,19991736.39,13765804,19078752,127998900.55,48273761,148564918,24060592.65,19636583,19636583
"83","ICA","11","2011",456083566.909306,0,0,0,0,0,0,184690.458564115,87236690.8218633,53959516.21561,684660568.93856,1391583485.60416,0,0,0,510079528,655611378,538908869.039999,0.821994364261627,20722296.05,13664220,18211914,189831357.47,100806394,176823981,50662279.1,13636420,36420225
"84","ICA","11","2012",571406332.706015,0,0,0,0,0,0,859520.98024069,95877560.4165331,56992662.2554134,811977333.124622,1326797465.70146,0,0,0,530594681,771336064,635349295.95,0.823699712753296,23921169.65,14481004,21664568,250216717.75,101822732,216661242,69412817.2,57680309,59785129
"85","ICA","11","2013",695202557.449108,0,0,0,0,0,0,14846271.4768847,131499138.188119,89106402.5366747,1151634669.7403,1326027215.13709,0,0,0,629566764,907610896,790051559.549999,0.870473861694336,25404490.57,15009908,23767773,266100077.88,130505075,299038939,37197221.59,66231172,66801172
"86","ICA","11","2014",766147927.73317,0,0,0,0,0,0,17289868.3132714,128036255.890465,97434414.7957499,1240744798.63698,1427639532.61235,0,0,0,650758799,865649872,785068066.770001,0.906911790370941,25444575.66,19981879,23553320,211342059.92,90835729,195066848,46580239.9,45280548,41773398
"87","ICA","11","2015",759435562.468998,0,0,0,0,0,0,20742159.1925853,161538075.248339,103268870.337467,1311384245.5224,1453088586.64668,0,0,0,701906385,883244053,845079942.01,0.95679098367691,25539808.53,21379643,28170337,181586368.22,103831309,182310606,25352671.7,43695670,24892855
"88","ICA","11","2016",778692111.420407,0,0,0,0,0,0,17630835.3136975,171027916.096863,106910514.292841,1289153351.04048,1521034269.40023,0,0,0,677015757,882939829,835010977.130001,0.945716738700867,30754438.13,22013739,35084118,135686984.33,61082737,138922330,13327774.78,18967504,17247441
"89","ICA","11","2017",907914164.752039,0,0,0,0,0,0,10506045.7006279,165396966.14973,99616714.9017849,1162136350.0527,1747970517.96603,0,0,0,738157316,1020769752,924002437.95,0.905201613903046,30279096.31,22572755,32328770,150062668.39,51240418,136469225,18649132.63,9262777,10903238
"90","ICA","11","2018",1080826137.47652,0,0,0,0,0,0,14178544.4343836,156619432.269661,86363490.1475802,985695446.730889,1892354170.85049,0,0,0,849535643,1051340859,951169724.790001,0.904720604419708,31335766.43,28331154,34526936,185502005.05,80344087,183366195,33380707.85,20269251,20269251
"91","JUNIN","12","2009",210858489.258226,0,0,0,0,0,0,74970119.2186797,670705724.332023,211455945.516524,1784295224.10872,0,0,0,0,696817799,861334996,772747753.019999,0.897151231765747,27701779.1,24315015,30323158,163713494.29,59143936,144058869,9737679.35,26186349,26186349
"92","JUNIN","12","2010",239967058.194146,0,0,0,0,0,0,73442871.195938,666749579.311256,205476081.163889,1841990739.4463,0,0,0,0,658790301,845402556,760538026.09,0.899616420269012,29051272.87,24738058,29976305,175864963.33,33301653,152696902,15750627.08,3664108,6062387
"93","JUNIN","12","2011",159734444.895381,0,0,0,0,0,0,74337909.5720564,566149663.968748,204853567.941242,1420105723.04233,0,0,0,0,701516473,931118984,857427527.32,0.920857071876526,33070344.83,25915681,35286103,205025855.25,56159098,160043060,19688686.01,12942764,13390919
"94","JUNIN","12","2012",204077556.822001,0,0,0,0,0,0,0,655377458.081696,269369530.241089,1761463379.17703,0,0,0,0,735112115,1045150628,977244916.25,0.935027837753296,37845574.45,27601745,36692194,172406838.78,51608662,144548378,21642543.74,16215122,16992781
"95","JUNIN","12","2013",226084010.252603,0,0,0,0,0,0,0,656387883.886672,272748971.159907,1745587322.09346,0,0,0,0,830960432,1076584112,1039693573.25,0.965733706951141,38003830.88,31689027,41047776,156363580.98,60759334,148959211,12764706.29,21191749,21191749
"96","JUNIN","12","2014",1534625334.91689,0,0,0,0,0,145441127.823578,52125330.1901338,873004463.001214,252495100.520996,1817857309.89117,0,0,0,0,907837930,1470736479,1277599239.16,0.868679940700531,37167171.2,33426246,43026826,299846562.48,52387343,371069251,4045393.38,18961097,10355794
